,importance
perc_fies,0.03910351547356311
SG_UF,0.03893247499464122
Nome da Grande Área do Curso segundo a classificação CINE BRASIL,0.03343367675893304
Organização Acadêmica,0.029552644388086635
Categoria Administrativa,0.02754751111212701
Prazo de Integralização em Anos,0.01614473478154026
densidade_vagas,0.015584283948514988
IN_CAPITAL,0.013617188327087238
perc_fem,0.013027961390501653
perc_noturno,0.010026119441017233
Grau Acadêmico,0.006428376299133465
NO_REGIAO,0.005402879368270552
Modalidade de Ensino,0.0
